parsed_date,year,month,day_of_week,hour,category
2001-01-19 08:44:00,2001,1,Friday,8,work
2001-04-20 00:19:00,2001,4,Friday,0,notification
2001-03-21 03:38:00,2001,3,Wednesday,3,work
2001-02-09 07:16:00,2001,2,Friday,7,work
2000-12-25 04:31:00,2000,12,Monday,4,work
2001-02-09 01:26:00,2001,2,Friday,1,work
2001-01-26 17:23:00,2001,1,Friday,17,work
2000-12-07 06:42:00,2000,12,Thursday,6,work
2000-12-01 01:12:00,2000,12,Friday,1,work
2001-01-09 14:01:00,2001,1,Tuesday,14,work
2001-03-13 04:07:00,2001,3,Tuesday,4,work
2000-12-21 05:47:00,2000,12,Thursday,5,work
2001-04-11 04:33:00,2001,4,Wednesday,4,work
2001-05-11 10:14:00,2001,5,Friday,10,work
2001-04-08 19:27:00,2001,4,Sunday,19,work
2001-03-02 06:25:00,2001,3,Friday,6,work
2001-01-18 15:22:00,2001,1,Thursday,15,work
2000-12-04 02:36:00,2000,12,Monday,2,work
2000-12-20 09:58:00,2000,12,Wednesday,9,work
2001-01-31 07:31:00,2001,1,Wednesday,7,work
2001-01-22 12:47:00,2001,1,Monday,12,work
2001-04-27 02:56:00,2001,4,Friday,2,work
2001-04-17 21:53:00,2001,4,Tuesday,21,notification
2000-12-04 12:29:00,2000,12,Monday,12,work
2001-04-17 05:39:00,2001,4,Tuesday,5,notification
2001-04-27 04:08:00,2001,4,Friday,4,work
2001-01-26 08:49:00,2001,1,Friday,8,work
2001-01-05 08:20:00,2001,1,Friday,8,work
2001-05-09 03:58:00,2001,5,Wednesday,3,work
2001-01-29 07:16:00,2001,1,Monday,7,work
2001-03-02 06:05:00,2001,3,Friday,6,work
2000-12-08 06:22:00,2000,12,Friday,6,work
2001-04-28 08:01:00,2001,4,Saturday,8,work
2001-04-19 00:24:00,2001,4,Thursday,0,notification
2001-03-13 06:55:00,2001,3,Tuesday,6,work
2000-12-12 09:23:00,2000,12,Tuesday,9,work
2000-12-11 01:21:00,2000,12,Monday,1,work
2000-12-24 21:19:00,2000,12,Sunday,21,notification
2001-03-01 06:04:00,2001,3,Thursday,6,work
2001-03-01 03:03:00,2001,3,Thursday,3,work
2000-12-27 09:56:00,2000,12,Wednesday,9,work
2001-01-15 23:56:00,2001,1,Monday,23,work
2001-04-05 11:04:00,2001,4,Thursday,11,work
2001-01-03 08:14:00,2001,1,Wednesday,8,work
2001-05-14 10:00:00,2001,5,Monday,10,work
2001-04-17 02:26:00,2001,4,Tuesday,2,work
2000-11-29 10:24:00,2000,11,Wednesday,10,work
2001-03-22 10:28:00,2001,3,Thursday,10,work
